Fold,Model,F1,Precision,Recall,AUC
1,SVM,0.4364,0.2857,0.9231,0.6355
1,RF,0.5306,0.3611,1.0,0.6227
1,XGB,0.4444,0.2927,0.9231,0.6227
1,MLP,0.4,0.25,1.0,0.6575
2,SVM,0.4255,0.2941,0.7692,0.696
2,RF,0.4571,0.3636,0.6154,0.7207
2,XGB,0.4,0.2619,0.8462,0.7253
2,MLP,0.4,0.25,1.0,0.6832
3,SVM,0.3939,0.2453,1.0,0.7381
3,RF,0.4444,0.2927,0.9231,0.7271
3,XGB,0.3881,0.2407,1.0,0.7161
3,MLP,0.4,0.25,1.0,0.674
4,SVM,0.1935,0.1667,0.2308,0.5458
4,RF,0.2,0.1765,0.2308,0.4908
4,XGB,0.3939,0.2453,1.0,0.478
4,MLP,0.4,0.25,1.0,0.478
5,SVM,0.4127,0.2653,0.9286,0.5557
5,RF,0.4,0.2609,0.8571,0.5218
5,XGB,0.381,0.2449,0.8571,0.4652
5,MLP,0.4118,0.2593,1.0,0.5105
