Setting,Model,Threshold,F1,Precision,Recall,AUC
all_4_late_fusion,MLP,0.1643,0.6415,0.4722,1.0,0.825
text+audio+video_early,RF,0.31,0.64,0.4848,0.9412,0.7081
all_4_late_fusion,SVM,0.2032,0.6222,0.5,0.8235,0.8009
text+video_early,SVM,0.0457,0.5769,0.4286,0.8824,0.7029
image+video_early,MLP,0.0129,0.5581,0.4615,0.7059,0.6244
text+audio+video_early,XGB,0.1347,0.5581,0.4615,0.7059,0.6471
text+audio+video_early,SVM,0.1093,0.5455,0.4444,0.7059,0.7149
all_4_late_fusion,RF,0.3637,0.5417,0.4194,0.7647,0.7541
image_only,XGB,0.0773,0.5385,0.4,0.8235,0.6772
text+audio_early,RF,0.365,0.5366,0.4583,0.6471,0.7066
image+video_early,RF,0.265,0.5357,0.3846,0.8824,0.6214
text+audio_early,XGB,0.2874,0.5263,0.4762,0.5882,0.6591
text+image+video_early,SVM,0.1436,0.5263,0.4762,0.5882,0.7481
audio+image_early,SVM,0.3419,0.5238,0.44,0.6471,0.6621
text_only,SVM,0.1152,0.5238,0.44,0.6471,0.7014
text+image+video_early,RF,0.45,0.5143,0.5,0.5294,0.733
image_only,MLP,0.0581,0.5128,0.4545,0.5882,0.6817
image_only,RF,0.38,0.5116,0.4231,0.6471,0.6373
text+video_early,XGB,0.0984,0.5116,0.4231,0.6471,0.644
all_4_late_fusion,XGB,0.185,0.5085,0.3571,0.8824,0.6621
audio+image+video_early,SVM,0.0939,0.5,0.3871,0.7059,0.6214
text_only,MLP,0.0286,0.5,0.3871,0.7059,0.7029
text+video_early,MLP,0.0,0.5,0.3333,1.0,0.6591
audio+image_early,MLP,0.3152,0.5,0.6364,0.4118,0.6878
text+audio+image_early,SVM,0.4081,0.48,0.75,0.3529,0.7511
text+audio+video_early,MLP,0.0,0.4789,0.3148,1.0,0.6727
text+audio_early,SVM,0.0907,0.4783,0.3793,0.6471,0.721
audio_only,MLP,0.0001,0.4746,0.3333,0.8235,0.5882
audio+image_early,XGB,0.0639,0.4727,0.3421,0.7647,0.6757
audio+video_early,SVM,0.0073,0.4722,0.3091,1.0,0.5882
audio+video_early,MLP,0.0004,0.4688,0.3191,0.8824,0.5807
audio_only,RF,0.355,0.4667,0.3256,0.8235,0.6554
audio+video_early,XGB,0.0258,0.4667,0.3256,0.8235,0.5264
audio+video_early,RF,0.27,0.4643,0.3333,0.7647,0.6086
video_only,RF,0.155,0.4638,0.3077,0.9412,0.6335
text+image_early,SVM,0.3985,0.4615,0.6667,0.3529,0.7496
text+audio_early,MLP,0.0274,0.4583,0.3548,0.6471,0.6546
video_only,MLP,0.0001,0.4545,0.3061,0.8824,0.5128
all_4_early_fusion,RF,0.42,0.4516,0.5,0.4118,0.7293
image_only,SVM,0.3976,0.45,0.3913,0.5294,0.641
audio_only,XGB,0.012,0.4478,0.3,0.8824,0.5551
video_only,XGB,0.103,0.4444,0.3571,0.5882,0.5113
text+video_early,RF,0.415,0.4444,0.4211,0.4706,0.6674
text+audio+image_early,MLP,0.0864,0.4375,0.4667,0.4118,0.7225
video_only,SVM,0.0096,0.4308,0.2917,0.8235,0.54
text+audio+image_early,RF,0.42,0.4242,0.4375,0.4118,0.6968
audio_only,SVM,0.0767,0.4211,0.3,0.7059,0.5807
text+image_early,MLP,0.4899,0.4138,0.5,0.3529,0.7345
text+image_early,XGB,0.3771,0.4118,0.4118,0.4118,0.6682
audio+image_early,RF,0.44,0.4118,0.4118,0.4118,0.6501
all_4_early_fusion,SVM,0.3947,0.4,0.625,0.2941,0.7466
image+video_early,XGB,0.318,0.3889,0.3684,0.4118,0.5716
text_only,RF,0.48,0.3871,0.4286,0.3529,0.6878
audio+image+video_early,RF,0.4,0.3784,0.35,0.4118,0.6373
text+image_early,RF,0.5,0.3704,0.5,0.2941,0.678
text_only,XGB,0.3006,0.3636,0.375,0.3529,0.6335
text+audio+image_early,XGB,0.4115,0.3636,0.375,0.3529,0.6772
image+video_early,SVM,0.4832,0.3448,0.4167,0.2941,0.6184
audio+image+video_early,XGB,0.4667,0.3125,0.3333,0.2941,0.5747
text+image+video_early,XGB,0.7842,0.3077,0.4444,0.2353,0.6953
all_4_early_fusion,XGB,0.5998,0.3077,0.4444,0.2353,0.7195
audio+image+video_early,MLP,0.8786,0.2857,0.3636,0.2353,0.6531
text+image+video_early,MLP,0.9594,0.1,0.3333,0.0588,0.721
all_4_early_fusion,MLP,0.9418,0.0952,0.25,0.0588,0.7647
